,iteration,vote_uncertain_sampling,sampling_entropy,vote_disagreement,random_choice,SVC_poly,RandomForestClassifier,SVC_rbf,GaussianPC,GaussianNB,MLPClassifier
70,70,0.5,0.5,0.5,0.5,0.4642857142857143,0.5178571428571429,0.4107142857142857,0.35714285714285715,0.5,0.4642857142857143
71,71,0.5,0.5,0.5,0.5,0.4642857142857143,0.48214285714285715,0.42857142857142855,0.39285714285714285,0.5,0.48214285714285715
72,72,0.5,0.5,0.5,0.5,0.44642857142857145,0.5714285714285714,0.4107142857142857,0.4107142857142857,0.5,0.5
73,73,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.44642857142857145,0.5357142857142857,0.4107142857142857,0.4107142857142857,0.5,0.5
74,74,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.44642857142857145,0.48214285714285715,0.39285714285714285,0.375,0.5,0.5
75,75,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.44642857142857145,0.4642857142857143,0.39285714285714285,0.39285714285714285,0.5,0.5178571428571429
76,76,0.5,0.5,0.5,0.5,0.42857142857142855,0.5535714285714286,0.4107142857142857,0.4107142857142857,0.5178571428571429,0.5357142857142857
77,77,0.5,0.5,0.5,0.5,0.42857142857142855,0.5535714285714286,0.44642857142857145,0.42857142857142855,0.5178571428571429,0.5178571428571429
78,78,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.44642857142857145,0.5,0.48214285714285715,0.42857142857142855,0.5357142857142857,0.48214285714285715
79,79,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.44642857142857145,0.5892857142857143,0.48214285714285715,0.42857142857142855,0.5357142857142857,0.5
80,80,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.48214285714285715,0.5892857142857143,0.5,0.44642857142857145,0.5714285714285714,0.5178571428571429
81,81,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.48214285714285715,0.5,0.48214285714285715,0.4642857142857143,0.5535714285714286,0.5178571428571429
82,82,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5,0.5357142857142857,0.48214285714285715,0.4642857142857143,0.5535714285714286,0.5
83,83,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5,0.5535714285714286,0.48214285714285715,0.4642857142857143,0.5535714285714286,0.48214285714285715
84,84,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.5357142857142857,0.48214285714285715,0.44642857142857145,0.5714285714285714,0.48214285714285715
85,85,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5,0.5178571428571429,0.48214285714285715,0.42857142857142855,0.5535714285714286,0.48214285714285715
86,86,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5,0.5357142857142857,0.48214285714285715,0.44642857142857145,0.5714285714285714,0.5
87,87,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.48214285714285715,0.5178571428571429,0.48214285714285715,0.44642857142857145,0.5714285714285714,0.5357142857142857
88,88,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.48214285714285715,0.5178571428571429,0.48214285714285715,0.42857142857142855,0.5714285714285714,0.5357142857142857
89,89,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.48214285714285715,0.5,0.48214285714285715,0.42857142857142855,0.5714285714285714,0.48214285714285715
90,90,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.48214285714285715,0.5178571428571429,0.48214285714285715,0.42857142857142855,0.5714285714285714,0.5178571428571429
91,91,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.48214285714285715,0.5714285714285714,0.48214285714285715,0.4107142857142857,0.5714285714285714,0.5
92,92,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.48214285714285715,0.5892857142857143,0.4642857142857143,0.4107142857142857,0.5714285714285714,0.5535714285714286
93,93,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.48214285714285715,0.5178571428571429,0.4642857142857143,0.44642857142857145,0.5714285714285714,0.5535714285714286
94,94,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5,0.5357142857142857,0.48214285714285715,0.4642857142857143,0.5714285714285714,0.5892857142857143
95,95,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5,0.5357142857142857,0.48214285714285715,0.48214285714285715,0.5714285714285714,0.5892857142857143
96,96,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5,0.5,0.48214285714285715,0.5,0.5714285714285714,0.5714285714285714
